start_date,end_date,start_price,end_price,day1_return,day2_return,day3_return,day4_return,day1_range,day2_range,day3_range,day4_range,day1_oc,day2_oc,day3_oc,day4_oc,total_4day_return,avg_daily_return,volatility,max_daily_return,min_daily_return,trend_direction,avg_volume,volume_trend,cluster
2020-07-07 13:30:00,2020-07-10 13:30:00,44.560001373291016,45.45000076293945,-3.0504001258074287,2.2115850597461906,-1.62838127842303,3.061229785780095,3.9272889274391694,3.3905966163877976,6.023023505749035,4.900189592523193,-1.5709172831377631,1.3336350140218576,-2.347212969159828,3.1079829287112037,1.99730557051081,0.14850836032395676,2.9513038847792887,3.061229785780095,-3.0504001258074287,1,11932850.0,-1,8
2020-07-08 13:30:00,2020-07-13 13:30:00,44.2400016784668,44.290000915527344,2.2115850597461906,-1.62838127842303,3.061229785780095,-2.552254846952584,3.3905966163877976,6.023023505749035,4.900189592523193,7.910576674471271,1.3336350140218576,-2.347212969159828,3.1079829287112037,-4.793636114128985,0.11301816266631182,0.2730446800376679,2.776667851962366,3.061229785780095,-2.552254846952584,1,12915025.0,1,0
2020-07-09 13:30:00,2020-07-14 13:30:00,45.15999984741211,46.0099983215332,-1.62838127842303,3.061229785780095,-2.552254846952584,3.883489208515356,6.023023505749035,4.900189592523193,7.910576674471271,7.038055410359378,-2.347212969159828,3.1079829287112037,-4.793636114128985,5.479136745006722,1.8821932617207437,0.6910207172299593,3.2510617803598683,3.883489208515356,-2.552254846952584,1,14463600.0,1,8
2020-07-10 13:30:00,2020-07-15 13:30:00,44.08000183105469,47.2400016784668,3.061229785780095,-2.552254846952584,3.883489208515356,2.6733392779932696,4.900189592523193,7.910576674471271,7.038055410359378,3.429407311762783,3.1079829287112037,-4.793636114128985,5.479136745006722,-0.610134879608697,7.168783385090216,1.7664508563340342,2.923010401491587,3.883489208515356,-2.552254846952584,1,14945475.0,1,2
2020-07-13 13:30:00,2020-07-16 13:30:00,46.52000045776367,46.77000045776367,-2.552254846952584,3.883489208515356,2.6733392779932696,-0.994922108390528,7.910576674471271,7.038055410359378,3.429407311762783,2.0716423852213657,-4.793636114128985,5.479136745006722,-0.610134879608697,0.9279246952090645,0.5374032621237479,0.7524128827913784,3.0258665727750502,3.883489208515356,-2.552254846952584,1,14861275.0,-1,8
2020-07-14 13:30:00,2020-07-17 13:30:00,43.619998931884766,47.130001068115234,3.883489208515356,2.6733392779932696,-0.994922108390528,0.7697254796408703,7.038055410359378,3.429407311762783,2.0716423852213657,2.5825515720969277,5.479136745006722,-0.610134879608697,0.9279246952090645,-0.2328547977205166,8.046772632231258,1.582907964439742,2.143842978402908,3.883489208515356,-0.994922108390528,1,13235700.0,-1,1
2020-07-15 13:30:00,2020-07-20 13:30:00,47.529998779296875,48.310001373291016,2.6733392779932696,-0.994922108390528,0.7697254796408703,2.503713724662071,3.429407311762783,2.0716423852213657,2.5825515720969277,4.1631244864986625,-0.610134879608697,0.9279246952090645,-0.2328547977205166,2.612573267626769,1.6410742983942406,1.2379640934764207,1.7192490840623642,2.6733392779932696,-0.994922108390528,1,11127550.0,-1,9
2020-07-16 13:30:00,2020-07-21 13:30:00,46.34000015258789,48.619998931884766,-0.994922108390528,0.7697254796408703,2.503713724662071,0.6416840194195084,2.0716423852213657,2.5825515720969277,4.1631244864986625,2.6785708756526323,0.9279246952090645,-0.2328547977205166,2.612573267626769,-1.3392854378263161,4.920152722894522,0.7300502788329805,1.4295447379166755,2.503713724662071,-0.994922108390528,1,9365500.0,-1,9
2020-07-17 13:30:00,2020-07-22 13:30:00,47.2400016784668,49.43000030517578,0.7697254796408703,2.503713724662071,0.6416840194195084,1.6659839388845077,2.5825515720969277,4.1631244864986625,2.6785708756526323,2.454625521127545,-0.2328547977205166,2.612573267626769,-1.3392854378263161,1.9595725493186147,4.635898706386454,1.3952767906517394,0.8681649813146948,2.503713724662071,0.6416840194195084,1,8739900.0,-1,9
2020-07-20 13:30:00,2020-07-23 13:30:00,47.08000183105469,47.72999954223633,2.503713724662071,0.6416840194195084,1.6659839388845077,-3.439208481577627,4.1631244864986625,2.6785708756526323,2.454625521127545,5.317635290323854,2.612573267626769,-1.3392854378263161,1.9595725493186147,-3.1256360893430433,1.3806238018302164,0.34304330034711505,2.6339630114186026,2.503713724662071,-3.439208481577627,1,10261750.0,1,9
2020-07-21 13:30:00,2020-07-24 13:30:00,49.279998779296875,46.7400016784668,0.6416840194195084,1.6659839388845077,-3.439208481577627,-2.074162734683205,2.6785708756526323,2.454625521127545,5.317635290323854,2.5860206471402654,-1.3392854378263161,1.9595725493186147,-3.1256360893430433,-0.10685880761321923,-5.154215023838759,-0.8014258144892039,2.362797321720223,1.6659839388845077,-3.439208481577627,-1,11560900.0,1,5
2020-07-22 13:30:00,2020-07-27 13:30:00,48.47999954223633,47.75,1.6659839388845077,-3.439208481577627,-2.074162734683205,2.16088636128251,2.454625521127545,5.317635290323854,2.5860206471402654,2.4421272190597794,1.9595725493186147,-3.1256360893430433,-0.10685880761321923,1.401571130332303,-1.5057746475437672,-0.42162522902345345,2.760686330468421,2.16088636128251,-3.439208481577627,-1,10879400.0,-1,5
2020-07-23 13:30:00,2020-07-28 13:30:00,49.27000045776367,46.91999816894531,-3.439208481577627,-2.074162734683205,2.16088636128251,-1.7382237299574554,5.317635290323854,2.5860206471402654,2.4421272190597794,2.613823565904164,-3.1256360893430433,-0.10685880761321923,1.401571130332303,-1.096122413188496,-4.7696412969041475,-1.2726771462339443,2.4043245175643597,2.16088636128251,-3.439208481577627,-1,11187950.0,-1,5
